Record_Number,Region,RESIDENCE_TYPE,Family_Composition,sex,age,Marital_Status,student,Country_Of_Birth,health,Ethnic_Group,religion,Economic_Activity,Occupation,industry,Hours_Worked_Per_Week,Approximate_Social_Grade
33448,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,3
33449,S92000003,P,4,2,4,1,2,1,3,1,1,1,2,10,2,1
33450,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
33453,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33458,S92000003,P,1,2,6,2,2,1,1,1,2,1,2,10,1,2
33460,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
33464,S92000003,P,4,2,2,1,1,1,1,1,2,6,X,X,X,4
33465,S92000003,P,1,2,6,2,2,1,2,1,1,1,9,11,3,4
33468,S92000003,P,4,2,4,4,1,1,2,1,2,4,6,10,2,2
33470,S92000003,P,1,2,5,2,2,1,2,1,2,1,2,10,2,3
33471,S92000003,P,5,2,6,1,2,1,2,1,1,5,2,10,X,1
33474,S92000003,P,4,2,5,4,2,1,1,1,2,1,3,11,3,2
33476,S92000003,P,2,2,6,5,2,1,1,1,2,5,9,1,X,3
33481,S92000003,P,1,2,5,2,2,1,2,1,1,1,4,10,3,2
33489,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
33493,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
33495,S92000003,P,0,2,8,5,2,1,2,1,1,5,9,11,X,4
33498,S92000003,P,0,2,8,5,2,1,1,1,2,5,6,10,X,4
33501,S92000003,P,1,1,6,2,2,1,1,1,2,2,5,1,4,2
33505,S92000003,P,1,2,7,2,2,1,1,1,1,5,4,11,X,2
33506,S92000003,P,1,2,7,2,2,1,2,1,9,5,2,11,X,1
33509,S92000003,P,1,2,7,2,2,1,1,1,1,5,2,11,X,1
33512,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33513,S92000003,P,1,1,7,2,2,1,3,1,9,5,2,10,X,1
33515,S92000003,P,2,2,4,4,2,1,2,1,2,1,2,11,3,4
33518,S92000003,P,1,2,5,2,2,1,2,1,2,1,6,11,3,4
33523,S92000003,P,4,1,3,1,2,1,4,1,1,8,X,X,X,4
33524,S92000003,P,0,2,4,1,2,1,1,1,1,1,4,11,3,2
33528,S92000003,P,1,2,4,2,1,2,2,3,6,6,X,X,X,2
33529,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33531,S92000003,P,0,2,5,3,2,1,4,1,2,1,6,10,2,3
33533,S92000003,P,1,2,7,2,2,1,2,1,2,5,4,11,X,3
33538,S92000003,P,4,2,3,1,1,2,2,1,2,6,9,13,X,2
33541,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
33543,S92000003,P,2,1,3,1,2,1,1,1,1,1,3,12,4,2
33544,S92000003,P,0,2,3,1,2,1,1,1,1,1,2,10,3,1
33545,S92000003,P,0,1,1,1,2,2,1,1,9,X,X,X,X,X
33546,S92000003,P,0,1,2,1,2,1,1,1,2,1,9,12,2,4
33549,S92000003,P,0,2,6,5,2,1,3,1,2,5,9,11,X,4
33551,S92000003,C,X,1,5,1,1,1,2,1,1,6,X,X,X,X
33555,S92000003,P,1,1,1,1,2,1,1,1,2,X,X,X,X,X
33556,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,11,3,2
33558,S92000003,P,4,2,1,1,2,1,1,1,1,X,X,X,X,X
33564,S92000003,P,1,1,5,1,2,1,3,1,9,8,X,X,X,3
33566,S92000003,P,0,1,4,1,2,1,1,1,2,1,9,12,3,4
33569,S92000003,P,2,1,5,1,2,1,1,1,1,9,9,11,X,2
33572,S92000003,P,4,2,2,1,2,1,1,1,1,1,6,11,2,4
33573,S92000003,P,0,1,4,2,2,1,1,1,1,2,3,12,2,2
33574,S92000003,P,0,2,8,5,2,2,2,1,2,5,2,10,X,2
33577,S92000003,P,1,2,2,1,1,1,1,1,1,4,X,X,X,3
33578,S92000003,P,1,2,5,2,2,1,2,1,2,1,3,10,1,3
33580,S92000003,P,1,1,8,2,2,1,3,1,2,5,9,11,X,4
33582,S92000003,P,1,1,7,2,2,1,2,1,1,5,2,11,X,1
33585,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
33586,S92000003,P,1,2,6,2,2,1,1,1,1,1,6,10,2,2
33588,S92000003,P,1,2,2,1,1,2,1,4,9,6,X,X,X,3
33589,S92000003,P,0,2,1,1,2,1,1,1,1,X,X,X,X,X
33590,S92000003,P,0,2,8,5,2,2,2,1,2,5,X,X,X,4
33591,S92000003,P,0,2,8,5,2,1,3,1,2,5,9,11,X,4
33592,S92000003,P,0,2,8,5,2,2,2,1,9,5,X,X,X,4
33600,S92000003,C,X,1,2,1,1,1,1,1,1,6,X,X,X,X
33601,S92000003,C,X,2,8,5,2,1,3,1,2,5,2,10,X,X
33602,S92000003,P,1,2,5,2,2,1,2,1,2,1,2,11,3,2
33605,S92000003,P,0,2,6,5,2,1,2,1,2,1,2,11,3,1
33606,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
33607,S92000003,P,0,1,5,1,2,1,2,1,1,1,9,11,3,3
33608,S92000003,P,1,2,4,2,2,1,2,1,9,1,4,11,3,2
33610,S92000003,P,4,1,2,1,1,1,2,1,1,6,X,X,X,2
33613,S92000003,P,4,2,1,1,1,1,2,1,2,X,X,X,X,X
33614,S92000003,P,0,2,6,5,2,1,1,1,2,1,6,11,3,3
33615,S92000003,P,2,2,3,1,2,1,1,1,1,1,6,11,2,3
33616,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
33617,S92000003,P,1,2,3,2,2,1,1,1,2,6,X,X,X,4
33619,S92000003,P,1,1,5,2,2,1,1,1,1,1,6,11,3,4
33623,S92000003,P,1,2,5,2,2,1,2,1,2,2,6,11,3,2
33624,S92000003,P,1,2,5,2,2,1,1,1,2,1,1,11,2,1
33625,S92000003,P,1,2,6,2,2,1,1,1,2,1,2,11,3,2
33627,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
33628,S92000003,P,1,2,5,2,2,1,2,1,2,1,9,11,1,4
33629,S92000003,P,1,2,4,2,2,1,3,1,2,7,6,11,X,4
33630,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,4
33633,S92000003,P,0,1,4,1,2,1,2,1,1,1,1,12,3,1
33634,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
33635,S92000003,P,1,2,6,2,2,1,2,1,2,5,5,1,X,4
33637,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
33638,S92000003,P,4,1,5,1,2,1,1,1,2,3,9,10,X,2
33639,S92000003,P,4,2,3,3,2,1,1,1,1,1,6,11,2,3
33641,S92000003,P,0,2,6,5,2,1,2,1,1,1,2,11,2,2
33642,S92000003,P,1,2,6,2,2,1,2,1,2,2,2,10,2,2
33643,S92000003,P,1,2,8,2,2,1,2,1,2,5,2,11,X,1
33644,S92000003,C,X,2,2,1,1,2,1,3,4,6,X,X,X,X
33645,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33646,S92000003,P,1,1,6,2,2,1,2,1,2,5,1,12,X,4
33648,S92000003,P,1,2,7,2,2,1,3,1,9,5,6,11,X,3
33652,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
33653,S92000003,P,0,1,7,1,2,1,2,1,2,1,5,1,4,3
33657,S92000003,P,1,2,4,2,2,1,2,1,1,1,6,11,4,3
33659,S92000003,P,1,1,7,2,2,1,2,1,2,2,9,1,4,4
33664,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33665,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33667,S92000003,P,2,1,1,1,2,1,2,1,1,X,X,X,X,X
33668,S92000003,P,2,2,2,1,2,1,3,1,1,7,X,X,X,3
33670,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
33671,S92000003,P,1,2,3,2,2,1,1,1,2,1,2,11,2,3
33672,S92000003,P,1,2,6,2,2,1,2,1,2,1,6,11,2,4
33674,S92000003,P,2,2,4,1,2,1,1,1,2,1,4,10,3,1
33675,S92000003,P,1,1,5,2,2,1,2,1,1,1,9,1,3,4
33677,S92000003,P,0,2,2,1,2,1,1,1,2,1,4,11,3,2
33679,S92000003,P,1,2,6,2,2,1,4,1,1,1,6,11,2,3
33680,S92000003,P,1,2,6,2,2,1,1,1,2,5,2,10,X,1
33684,S92000003,P,1,1,5,2,2,1,3,1,1,2,5,1,4,3
33685,S92000003,P,2,2,2,1,1,1,2,1,1,6,X,X,X,4
33689,S92000003,P,0,2,5,4,2,1,3,1,1,8,X,X,X,4
33690,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
33694,S92000003,P,2,1,1,1,2,1,1,1,2,X,X,X,X,X
33701,S92000003,C,X,2,8,1,2,1,3,1,2,5,X,X,X,X
33702,S92000003,P,1,1,5,2,2,1,1,1,1,1,2,11,3,2
33705,S92000003,P,1,1,6,2,2,1,2,1,2,1,1,11,3,1
33709,S92000003,P,1,1,8,2,2,1,2,1,1,5,2,11,X,1
33713,S92000003,P,0,2,6,1,2,1,4,1,1,8,9,11,X,4
33714,S92000003,P,1,2,7,2,2,1,2,1,1,5,2,11,X,3
33716,S92000003,P,1,1,4,2,2,1,1,1,2,2,8,10,2,1
33719,S92000003,P,1,2,6,2,2,1,2,1,2,2,6,13,2,2
33720,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
33721,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
33722,S92000003,P,1,2,6,2,2,1,2,1,9,2,2,1,1,2
33723,S92000003,P,0,2,7,5,2,1,2,1,2,5,3,11,X,2
33724,S92000003,P,1,2,5,2,2,1,2,1,2,1,7,11,3,4
33726,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33727,S92000003,P,1,2,5,2,2,1,2,1,2,1,7,11,3,3
33728,S92000003,P,1,2,6,2,2,1,1,1,1,1,4,11,2,3
33730,S92000003,P,1,2,7,2,2,1,1,1,2,5,9,10,X,2
33731,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
33732,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
33735,S92000003,P,1,1,6,2,2,1,1,1,2,1,9,12,3,3
33736,S92000003,P,1,2,7,2,2,1,1,1,2,5,4,11,X,4
33737,S92000003,P,4,2,6,5,2,1,1,1,2,1,6,10,2,3
33739,S92000003,P,1,2,6,2,2,1,1,1,2,1,2,11,2,1
33740,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
33741,S92000003,P,4,2,2,1,2,2,1,3,9,1,2,10,4,2
33742,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
33745,S92000003,P,2,2,4,1,2,1,1,1,1,1,4,11,2,3
33746,S92000003,P,1,1,7,2,2,1,4,1,2,5,2,10,X,1
33749,S92000003,P,1,2,7,2,2,1,1,1,2,5,2,10,X,1
33753,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
33754,S92000003,P,1,2,5,2,2,1,2,1,9,1,1,11,3,1
33755,S92000003,P,5,2,8,1,2,1,3,1,2,5,2,10,X,1
33756,S92000003,P,1,1,5,2,2,1,1,1,1,1,2,10,3,1
33759,S92000003,P,1,2,4,2,2,1,1,1,2,1,2,10,3,2
33761,S92000003,P,3,2,2,1,1,1,1,1,2,4,X,X,X,3
33766,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
33767,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
33769,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
33770,S92000003,P,0,2,5,4,2,1,3,1,2,8,9,10,X,4
33776,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
33777,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33780,S92000003,P,1,1,6,2,2,1,1,1,2,1,2,10,3,1
33788,S92000003,P,1,1,2,1,1,1,1,1,2,6,X,X,X,2
33791,S92000003,P,1,2,6,2,2,1,1,1,2,5,4,10,X,3
33792,S92000003,P,0,1,7,5,2,1,1,1,2,1,6,11,3,4
33794,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
33795,S92000003,P,1,2,3,2,2,1,1,1,1,2,6,13,3,3
33796,S92000003,P,1,1,6,2,2,1,2,1,2,1,6,11,3,4
33799,S92000003,P,2,1,1,1,1,1,1,1,1,X,X,X,X,X
33800,S92000003,P,1,1,1,1,2,1,3,1,2,X,X,X,X,X
33801,S92000003,P,3,2,2,1,1,1,1,1,2,4,X,X,X,2
33802,S92000003,P,1,1,1,1,2,1,1,1,1,X,X,X,X,X
33805,S92000003,P,0,2,4,3,2,1,4,1,1,5,9,11,X,4
33809,S92000003,P,4,1,1,1,2,1,1,1,2,X,X,X,X,X
33810,S92000003,P,1,2,6,2,2,1,1,1,2,1,6,11,3,3
33815,S92000003,P,4,1,1,1,2,1,1,1,9,X,X,X,X,X
33820,S92000003,P,4,2,1,1,1,1,2,1,9,X,X,X,X,X
33822,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33823,S92000003,P,4,2,3,1,2,1,2,1,1,7,6,11,X,4
33824,S92000003,P,0,2,2,1,2,2,1,1,1,9,6,13,X,2
33825,S92000003,P,0,1,6,1,2,1,2,1,9,1,9,13,2,4
33826,S92000003,P,4,2,1,1,1,1,1,1,1,X,X,X,X,X
33827,S92000003,P,1,2,5,2,2,1,3,1,1,7,2,11,X,1
33828,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
33830,S92000003,P,1,2,3,2,2,1,1,1,2,1,2,11,3,1
33831,S92000003,P,1,2,7,2,2,1,3,1,2,5,4,10,X,2
33832,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33835,S92000003,P,1,2,1,1,2,1,5,1,1,X,X,X,X,X
33836,S92000003,P,1,2,5,2,2,1,2,1,2,1,6,11,3,3
33837,S92000003,P,4,2,4,4,2,1,2,1,1,1,2,11,2,2
33839,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
33840,S92000003,P,1,2,7,2,2,1,2,1,2,5,5,11,X,3
33844,S92000003,P,4,1,1,1,1,1,1,1,2,X,X,X,X,X
33845,S92000003,P,2,2,2,1,2,1,1,1,1,7,X,X,X,4
33850,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33851,S92000003,P,1,2,4,2,2,1,3,1,1,1,9,10,2,4
33853,S92000003,P,1,2,4,2,2,1,2,1,2,2,6,13,2,3
33854,S92000003,P,1,2,4,2,2,2,1,1,9,1,2,11,2,1
33855,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
33856,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
33857,S92000003,P,2,1,5,2,2,1,3,1,1,1,3,11,3,2
33858,S92000003,P,1,1,1,1,2,2,1,1,1,X,X,X,X,X
33863,S92000003,P,0,2,6,4,2,1,1,1,1,5,2,10,X,1
33864,S92000003,P,0,2,4,1,2,2,1,1,2,2,2,11,3,1
33866,S92000003,P,1,2,4,2,2,1,2,1,2,1,4,11,3,3
33868,S92000003,P,2,2,5,4,2,1,1,1,2,2,3,11,2,2
33871,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33872,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33874,S92000003,P,1,1,3,1,2,1,3,1,2,8,X,X,X,2
33883,S92000003,P,2,2,2,1,1,1,2,1,1,4,4,11,1,3
33884,S92000003,P,0,2,6,4,2,1,3,1,9,8,9,13,X,4
33885,S92000003,P,3,2,1,1,1,1,3,1,7,X,X,X,X,X
33886,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
33888,S92000003,P,4,1,2,1,2,1,2,1,1,9,X,X,X,4
33891,S92000003,P,1,2,2,1,1,1,1,1,2,6,X,X,X,4
33893,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33895,S92000003,P,4,1,1,1,1,1,2,1,1,X,X,X,X,X
33898,S92000003,P,4,2,3,1,2,1,1,1,1,7,6,13,X,4
33900,S92000003,P,2,1,1,1,2,1,1,1,1,X,X,X,X,X
33902,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
33906,S92000003,P,1,2,7,2,2,1,2,1,2,1,6,11,3,4
33908,S92000003,P,1,2,4,2,2,1,2,1,1,1,3,11,3,2
33909,S92000003,P,1,1,8,2,2,1,2,1,2,5,5,1,X,4
33910,S92000003,P,1,2,4,2,2,1,2,1,2,1,4,1,1,3
33912,S92000003,P,1,1,6,2,2,1,2,1,1,1,5,12,3,3
33915,S92000003,P,1,1,3,1,2,2,1,1,2,1,6,13,3,3
33916,S92000003,P,4,1,1,1,1,1,1,2,2,X,X,X,X,X
33920,S92000003,P,1,2,6,2,2,1,1,1,2,1,2,10,3,1
33921,S92000003,P,1,1,6,2,2,1,1,1,2,1,2,11,3,1
33922,S92000003,P,1,2,1,1,1,2,1,1,9,X,X,X,X,X
33923,S92000003,P,1,1,6,2,2,1,3,1,2,5,5,1,X,4
33930,S92000003,P,0,2,7,5,2,1,2,1,2,1,4,11,1,2
33931,S92000003,P,1,2,3,2,2,1,1,1,1,1,2,10,1,1
33932,S92000003,C,X,2,8,5,2,1,2,1,9,5,X,X,X,X
33933,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
33935,S92000003,P,4,1,1,1,1,1,1,1,9,X,X,X,X,X
33937,S92000003,P,2,2,3,1,2,1,1,1,2,1,2,10,3,1
33939,S92000003,P,1,2,7,2,2,1,4,1,2,5,5,11,X,4
33940,S92000003,P,4,2,2,1,1,1,1,1,2,4,X,X,X,3
33941,S92000003,P,0,1,3,1,2,1,1,1,2,1,2,10,4,1
33942,S92000003,P,0,2,8,5,2,1,4,1,2,5,2,10,X,1
33945,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
33949,S92000003,P,1,1,6,2,2,1,2,1,1,2,8,10,4,3
33952,S92000003,P,1,2,3,1,2,1,1,1,2,1,3,12,3,3
33953,S92000003,P,1,1,6,2,2,1,1,1,2,2,6,11,2,3
33954,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
33955,S92000003,P,1,1,8,2,2,1,2,1,1,5,2,10,X,1
33956,S92000003,P,1,1,4,2,2,1,2,1,2,2,5,1,4,1
33958,S92000003,P,1,1,7,2,2,2,4,1,2,5,5,1,X,4
33964,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33965,S92000003,P,0,1,7,3,2,1,2,1,9,5,6,10,X,4
33968,S92000003,P,2,1,3,1,2,2,1,3,2,1,6,11,3,4
33969,S92000003,P,0,2,2,1,1,1,3,1,1,4,4,10,1,2
33970,S92000003,P,0,2,8,5,2,2,5,1,2,5,X,X,X,4
33973,S92000003,P,1,1,4,2,2,1,2,1,1,1,9,1,4,4
33980,S92000003,P,1,2,6,2,2,1,2,1,2,1,9,10,2,3
33982,S92000003,P,1,2,4,2,2,1,1,1,2,1,1,13,3,2
33984,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
33986,S92000003,P,1,2,6,2,2,1,3,1,9,1,9,13,1,3
33994,S92000003,P,2,2,4,3,2,1,2,1,2,1,2,11,3,1
33996,S92000003,P,2,2,4,4,2,1,2,1,2,1,2,11,3,1
33997,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
33998,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
34000,S92000003,P,4,2,1,1,2,1,1,1,2,X,X,X,X,X
34004,S92000003,P,0,2,8,5,2,1,2,1,2,5,2,10,X,1
34005,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
34008,S92000003,P,1,2,6,2,2,1,2,1,1,1,4,11,3,4
34010,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
34013,S92000003,P,2,2,1,1,1,1,1,1,1,X,X,X,X,X
34014,S92000003,P,1,2,1,1,2,1,1,1,1,X,X,X,X,X
34015,S92000003,P,4,2,4,1,2,1,1,1,2,1,2,11,3,2
34016,S92000003,P,0,2,8,5,2,1,2,1,2,5,2,10,X,1
34019,S92000003,P,1,2,4,2,2,1,3,1,2,1,6,13,3,2
34028,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
34033,S92000003,P,4,2,2,1,2,1,2,1,2,1,2,10,3,4
34034,S92000003,P,1,1,2,1,2,1,1,1,1,1,3,10,4,2
34035,S92000003,P,1,2,7,2,2,1,3,1,2,5,6,11,X,2
34036,S92000003,P,1,2,1,1,1,1,1,1,9,X,X,X,X,X
34037,S92000003,P,1,2,4,2,2,2,2,1,1,7,1,12,X,4
34042,S92000003,P,1,2,6,2,2,1,1,1,1,2,3,10,2,2
34047,S92000003,P,4,1,2,1,1,1,1,1,1,6,X,X,X,3
34048,S92000003,P,1,2,3,2,2,1,2,1,1,7,X,X,X,4
34049,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
34050,S92000003,P,1,2,1,1,1,2,1,1,2,X,X,X,X,X
34051,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
34053,S92000003,P,2,1,1,1,1,1,2,1,1,X,X,X,X,X
34054,S92000003,P,4,1,1,1,2,1,2,1,1,X,X,X,X,X
34056,S92000003,P,2,2,1,1,2,1,1,1,1,X,X,X,X,X
34057,S92000003,P,1,2,5,2,2,1,2,1,2,1,6,11,2,4
34058,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
34059,S92000003,P,2,2,1,1,1,1,1,1,2,X,X,X,X,X
34060,S92000003,P,1,2,5,2,2,1,1,1,2,1,2,10,4,1
34062,S92000003,P,2,1,3,1,2,1,4,1,1,9,X,X,X,3
34067,S92000003,P,5,2,3,1,2,1,1,1,1,1,3,11,3,2
34068,S92000003,P,1,1,4,2,2,1,1,1,2,2,5,1,4,3
34069,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
34070,S92000003,P,1,1,4,2,2,1,1,1,1,1,5,1,4,3
34071,S92000003,P,1,2,3,2,2,1,1,1,1,1,2,11,3,1
34074,S92000003,P,1,2,7,2,2,1,2,1,5,5,6,13,X,1
34077,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
34080,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,2
34083,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
34085,S92000003,P,1,1,1,1,1,2,1,1,2,X,X,X,X,X
34086,S92000003,P,1,1,4,2,2,2,2,3,4,1,2,11,3,1
34087,S92000003,P,0,2,7,1,2,1,2,1,2,5,2,10,X,1
34088,S92000003,P,1,2,4,2,2,1,1,2,1,7,2,10,X,4
34089,S92000003,P,1,2,5,2,2,1,1,1,2,1,4,11,2,1
34095,S92000003,P,1,2,5,2,2,1,1,1,1,1,2,10,3,1
34098,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
34101,S92000003,P,1,2,4,2,2,1,1,1,2,2,1,11,4,1
34106,S92000003,P,1,2,2,1,2,1,1,1,1,1,3,11,3,2
34107,S92000003,P,1,1,1,1,1,1,1,1,2,X,X,X,X,X
34111,S92000003,P,4,1,2,1,1,1,3,1,2,6,X,X,X,4
34113,S92000003,P,0,2,5,4,2,1,2,1,2,1,2,10,3,1
34115,S92000003,P,2,2,5,1,2,1,3,1,2,2,6,11,4,3
34117,S92000003,P,0,2,6,4,2,1,2,1,1,1,9,13,4,4
34119,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
34120,S92000003,P,4,1,1,1,1,1,1,1,1,X,X,X,X,X
34123,S92000003,P,1,1,1,1,1,1,2,1,9,X,X,X,X,X
34125,S92000003,P,1,1,7,2,2,1,2,1,2,5,1,10,X,3
34126,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
34128,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
34129,S92000003,P,2,2,1,1,1,1,1,1,9,X,X,X,X,X
34134,S92000003,P,4,2,1,1,1,1,1,1,2,X,X,X,X,X
34139,S92000003,P,1,2,1,1,1,1,1,1,2,X,X,X,X,X
34142,S92000003,P,4,2,2,1,1,1,1,1,2,6,X,X,X,3
34143,S92000003,P,0,1,4,1,2,1,3,1,1,8,X,X,X,4
34147,S92000003,P,0,2,2,1,2,1,2,1,1,1,6,11,3,2
34148,S92000003,P,0,2,8,5,2,1,1,1,2,5,9,13,X,4
34149,S92000003,P,0,2,7,5,2,1,5,1,9,5,9,13,X,4
34152,S92000003,P,0,2,4,1,2,1,1,1,1,1,6,11,3,4
34154,S92000003,P,1,2,1,1,1,2,1,6,6,X,X,X,X,X
34156,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
34157,S92000003,P,1,2,5,2,2,1,2,1,1,1,6,11,2,4
34158,S92000003,P,4,2,5,1,1,1,5,1,1,6,6,11,X,2
34161,S92000003,P,4,2,1,1,1,1,3,1,1,X,X,X,X,X
34162,S92000003,P,1,2,6,2,2,1,3,1,2,2,6,11,3,3
34165,S92000003,P,1,1,3,2,2,1,2,1,2,1,2,10,3,1
34166,S92000003,P,1,2,5,2,2,1,1,1,2,1,6,13,1,3
34167,S92000003,P,1,1,1,1,1,1,2,1,2,X,X,X,X,X
34169,S92000003,P,1,2,6,2,2,1,1,1,2,5,6,11,X,3
34170,S92000003,P,2,2,1,1,2,1,2,1,1,X,X,X,X,X
34171,S92000003,P,1,2,5,2,2,1,5,1,1,8,X,X,X,4
34172,S92000003,P,1,2,6,2,2,1,3,1,9,5,2,11,X,1
34173,S92000003,P,1,2,6,2,2,1,1,1,2,5,2,10,X,1
34177,S92000003,P,1,1,3,1,2,1,1,1,1,1,3,10,2,1
34179,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
34181,S92000003,P,4,2,1,1,1,1,2,1,2,X,X,X,X,X
34182,S92000003,P,2,1,4,1,2,1,1,1,1,1,2,10,3,1
34183,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
34185,S92000003,P,2,1,7,2,2,1,4,1,1,9,6,11,X,4
34190,S92000003,P,1,2,1,1,2,1,1,1,2,X,X,X,X,X
34196,S92000003,P,1,2,4,2,2,1,3,1,2,8,9,11,X,3
34198,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
34202,S92000003,P,1,2,1,1,1,1,2,1,1,X,X,X,X,X
34204,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
34205,S92000003,P,2,2,3,1,2,1,2,1,1,1,6,11,3,3
34207,S92000003,P,0,1,7,4,2,1,1,1,2,5,X,X,X,4
34208,S92000003,P,0,2,5,1,2,1,4,1,1,8,2,10,X,1
34210,S92000003,P,1,2,2,1,1,1,1,1,1,6,X,X,X,2
34211,S92000003,P,1,1,1,1,1,1,1,1,1,X,X,X,X,X
34214,S92000003,P,2,2,3,1,2,1,1,1,2,1,2,11,3,4
34216,S92000003,P,4,1,1,1,2,1,1,1,1,X,X,X,X,X
34217,S92000003,P,2,2,5,1,2,1,3,1,2,8,2,11,X,4
34218,S92000003,P,1,2,1,1,1,1,1,1,1,X,X,X,X,X
34219,S92000003,P,2,2,4,3,2,2,1,1,1,1,6,11,3,3
34220,S92000003,P,0,1,5,1,2,1,3,1,2,3,9,11,X,4
34224,S92000003,P,1,2,6,2,2,1,1,1,2,9,6,10,X,1
34228,S92000003,P,1,1,2,1,1,1,1,1,1,6,X,X,X,2
34229,S92000003,P,1,1,1,1,2,1,2,1,1,X,X,X,X,X
